epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,3116.66,0.00618,0.62015,0.06572,0.85614,0.87777,0.91366,0.68445,0.00581,0.6963,0.06602,0.000120019,0.000120019,0.000120019
154,3137.58,0.00622,0.62056,0.06582,0.85982,0.87338,0.91222,0.68281,0.00585,0.69881,0.066,0.000117519,0.000117519,0.000117519
155,3160.03,0.00618,0.61638,0.06551,0.84795,0.88497,0.91118,0.67889,0.00589,0.7052,0.06617,0.000115019,0.000115019,0.000115019
156,3181.7,0.00621,0.61112,0.06566,0.85075,0.88367,0.9134,0.68299,0.00589,0.69933,0.0663,0.000112519,0.000112519,0.000112519
157,3203.32,0.0062,0.6158,0.0656,0.8382,0.89947,0.91258,0.68377,0.00587,0.69895,0.06624,0.000110019,0.000110019,0.000110019
158,3226.97,0.00619,0.61298,0.06591,0.83551,0.89557,0.91122,0.68241,0.00585,0.69914,0.06629,0.00010752,0.00010752,0.00010752
159,3252.29,0.00622,0.61649,0.066,0.84622,0.88849,0.90997,0.68288,0.00583,0.70075,0.06621,0.00010502,0.00010502,0.00010502
160,3275.61,0.00615,0.61011,0.06572,0.86088,0.87601,0.9104,0.68288,0.00584,0.6967,0.06602,0.00010252,0.00010252,0.00010252
161,3299.98,0.00613,0.60557,0.06557,0.8534,0.8873,0.90894,0.68379,0.00582,0.69738,0.06586,0.00010002,0.00010002,0.00010002
162,3322.51,0.00614,0.60428,0.06557,0.85007,0.89852,0.91237,0.68771,0.00579,0.68579,0.06586,9.75201e-05,9.75201e-05,9.75201e-05
163,3345.7,0.00612,0.60602,0.06545,0.83619,0.90297,0.91215,0.68902,0.00579,0.69047,0.06587,9.50202e-05,9.50202e-05,9.50202e-05
164,3367.55,0.00616,0.60477,0.0657,0.84191,0.90287,0.90958,0.68475,0.00583,0.69289,0.06606,9.25204e-05,9.25204e-05,9.25204e-05
165,3391.65,0.0061,0.60442,0.06525,0.85727,0.88862,0.91359,0.68805,0.00582,0.68721,0.06598,9.00205e-05,9.00205e-05,9.00205e-05
166,3413.14,0.0061,0.60423,0.06549,0.85735,0.88299,0.91197,0.68602,0.0058,0.69045,0.06589,8.75206e-05,8.75206e-05,8.75206e-05
167,3436.15,0.00608,0.59492,0.0657,0.85264,0.88928,0.91201,0.68632,0.0058,0.6944,0.06598,8.50208e-05,8.50208e-05,8.50208e-05
168,3459.25,0.0061,0.59916,0.06526,0.87776,0.86359,0.912,0.68673,0.00579,0.69353,0.06596,8.25209e-05,8.25209e-05,8.25209e-05
169,3486.14,0.00609,0.59768,0.06507,0.85499,0.88803,0.91258,0.68751,0.00578,0.69107,0.06583,8.0021e-05,8.0021e-05,8.0021e-05
170,3510.69,0.00609,0.59883,0.06541,0.8529,0.88885,0.90954,0.68633,0.00578,0.69403,0.06571,7.75211e-05,7.75211e-05,7.75211e-05
171,3535.76,0.00607,0.59486,0.06528,0.84916,0.89863,0.91087,0.68767,0.00577,0.69153,0.06569,7.50213e-05,7.50213e-05,7.50213e-05
172,3558.18,0.00608,0.5924,0.06507,0.86195,0.88556,0.91007,0.68878,0.00578,0.69015,0.06571,7.25214e-05,7.25214e-05,7.25214e-05
173,3581.62,0.00612,0.59472,0.06527,0.87481,0.87743,0.91121,0.68752,0.00579,0.69402,0.06571,7.00215e-05,7.00215e-05,7.00215e-05
174,3603.96,0.00604,0.58949,0.06495,0.87119,0.87592,0.9119,0.68858,0.00579,0.6929,0.06567,6.75216e-05,6.75216e-05,6.75216e-05
175,3627.31,0.00611,0.59157,0.0655,0.84166,0.89888,0.91224,0.69006,0.00578,0.69448,0.06564,6.50217e-05,6.50217e-05,6.50217e-05
176,3649.93,0.00607,0.59038,0.06556,0.85011,0.89332,0.91027,0.6888,0.00579,0.69383,0.06577,6.25219e-05,6.25219e-05,6.25219e-05
